id,product_name,product_description,category,tags
41,Samsung Galaxy S24 Variant 0,High-performance flagship device with advanced camera system,Smartphones,"battery,mobile,fast-charging,camera,performance"
42,Realme 11 Pro Variant 1,Latest generation smartphone with cutting-edge technology,Smartphones,"5g,fast-charging,screen"
43,OnePlus 12 Variant 2,High-performance flagship device with advanced camera system,Smartphones,"performance,screen,mobile,camera,5g"
44,Motorola G73 Variant 3,High-performance flagship device with advanced camera system,Smartphones,"5g,performance,battery,camera,android"
45,Nothing Phone 2a Variant 4,Latest generation smartphone with cutting-edge technology,Smartphones,"battery,5g,android,performance,fast-charging"
46,iQOO 12 Variant 5,Powerful smartphone for gaming and productivity,Smartphones,"5g,mobile,performance,camera"
47,Motorola G73 Variant 6,High-performance flagship device with advanced camera system,Smartphones,"performance,camera,android"
48,Xiaomi 14 Ultra Variant 7,Premium mobile phone with stunning display,Smartphones,"performance,android,fast-charging"
49,Realme 12 Pro Variant 8,Powerful smartphone for gaming and productivity,Smartphones,"camera,screen,battery,fast-charging,mobile"
50,Vivo V27 Pro Variant 9,Premium mobile phone with stunning display,Smartphones,"5g,screen,android,mobile,camera"
51,Vivo V27 Pro Variant 0,Latest generation smartphone with cutting-edge technology,Smartphones,"camera,screen,5g,android"
52,Vivo X100 Variant 1,Premium mobile phone with stunning display,Smartphones,"screen,android,mobile,battery,performance"
53,Nothing Phone 2a Variant 2,High-performance flagship device with advanced camera system,Smartphones,"battery,fast-charging,5g"
54,Nothing Phone 2a Variant 3,Latest generation smartphone with cutting-edge technology,Smartphones,"screen,camera,battery,performance,mobile"
55,Pixel 8 Pro Variant 4,High-performance flagship device with advanced camera system,Smartphones,"android,camera,mobile,screen,5g"
56,Samsung Galaxy A54 Variant 5,Latest generation smartphone with cutting-edge technology,Smartphones,"camera,android,mobile"
57,Google Pixel 8a Variant 6,Latest generation smartphone with cutting-edge technology,Smartphones,"performance,battery,mobile,android,screen"
58,Honor 80 Pro Variant 7,Latest generation smartphone with cutting-edge technology,Smartphones,"android,fast-charging,5g"
59,Samsung Galaxy A54 Variant 8,High-performance flagship device with advanced camera system,Smartphones,"battery,fast-charging,performance"
60,Motorola Edge 50 Variant 9,Premium mobile phone with stunning display,Smartphones,"5g,performance,mobile"
61,Xiaomi 13 Variant 0,Latest generation smartphone with cutting-edge technology,Smartphones,"screen,android,fast-charging"
62,Motorola Edge 50 Variant 1,Latest generation smartphone with cutting-edge technology,Smartphones,"performance,screen,android"
63,Nothing Phone 2a Variant 2,High-performance flagship device with advanced camera system,Smartphones,"battery,screen,camera,performance"
64,Vivo V27 Pro Variant 3,Premium mobile phone with stunning display,Smartphones,"5g,android,screen"
65,Motorola G73 Variant 4,Premium mobile phone with stunning display,Smartphones,"5g,camera,performance"
66,Google Pixel 8a Variant 5,Premium mobile phone with stunning display,Smartphones,"5g,performance,camera,screen"
67,Nothing Phone 2a Variant 6,High-performance flagship device with advanced camera system,Smartphones,"fast-charging,mobile,camera,battery,5g"
68,Google Pixel 8a Variant 7,Powerful smartphone for gaming and productivity,Smartphones,"battery,camera,android"
69,Pixel 8 Pro Variant 8,Premium mobile phone with stunning display,Smartphones,"camera,battery,performance,android,fast-charging"
70,iQOO 12 Variant 9,Latest generation smartphone with cutting-edge technology,Smartphones,"fast-charging,battery,performance"
71,Realme 12 Pro Variant 0,Premium mobile phone with stunning display,Smartphones,"mobile,android,fast-charging,5g"
72,Samsung Galaxy A54 Variant 1,Premium mobile phone with stunning display,Smartphones,"screen,performance,battery,5g"
73,Realme 11 Pro Variant 2,Powerful smartphone for gaming and productivity,Smartphones,"android,battery,mobile,screen,camera"
74,OnePlus 12 Variant 3,Latest generation smartphone with cutting-edge technology,Smartphones,"camera,5g,fast-charging,battery,mobile"
75,Samsung Galaxy S24 Variant 4,Latest generation smartphone with cutting-edge technology,Smartphones,"5g,performance,fast-charging,camera"
76,Vivo X100 Variant 5,Powerful smartphone for gaming and productivity,Smartphones,"fast-charging,5g,screen,mobile"
77,Pixel 8 Pro Variant 6,Powerful smartphone for gaming and productivity,Smartphones,"android,fast-charging,battery"
78,Realme 11 Pro Variant 7,Powerful smartphone for gaming and productivity,Smartphones,"performance,fast-charging,mobile"
79,OnePlus 11 Variant 8,Latest generation smartphone with cutting-edge technology,Smartphones,"battery,fast-charging,performance,camera"
80,Realme 11 Pro Variant 9,Powerful smartphone for gaming and productivity,Smartphones,"screen,5g,battery,performance,camera"
81,Nothing Phone 2a Variant 0,Latest generation smartphone with cutting-edge technology,Smartphones,"camera,fast-charging,screen,performance,5g"
82,Nothing Phone 2a Variant 1,Powerful smartphone for gaming and productivity,Smartphones,"camera,5g,android"
83,Oppo Find X7 Variant 2,Premium mobile phone with stunning display,Smartphones,"5g,screen,fast-charging,battery,performance"
84,Xiaomi 14 Ultra Variant 3,Latest generation smartphone with cutting-edge technology,Smartphones,"fast-charging,performance,android"
85,Vivo V27 Pro Variant 4,Powerful smartphone for gaming and productivity,Smartphones,"mobile,5g,performance,battery"
86,Motorola G73 Variant 5,High-performance flagship device with advanced camera system,Smartphones,"fast-charging,performance,mobile,android,camera"
87,Apple iPhone 15 Variant 6,Powerful smartphone for gaming and productivity,Smartphones,"performance,screen,5g,android,fast-charging"
88,Xiaomi 13 Variant 7,High-performance flagship device with advanced camera system,Smartphones,"battery,screen,fast-charging,performance"
89,Realme 12 Pro Variant 8,Powerful smartphone for gaming and productivity,Smartphones,"mobile,performance,camera"
90,Motorola G73 Variant 9,High-performance flagship device with advanced camera system,Smartphones,"fast-charging,5g,performance"
91,Realme 12 Pro Variant 0,High-performance flagship device with advanced camera system,Smartphones,"fast-charging,android,5g,performance"
92,Oppo Find X7 Variant 1,Premium mobile phone with stunning display,Smartphones,"camera,fast-charging,performance,android"
93,OnePlus 12 Variant 2,Powerful smartphone for gaming and productivity,Smartphones,"mobile,android,5g"
94,OnePlus 12 Variant 3,High-performance flagship device with advanced camera system,Smartphones,"performance,5g,mobile"
95,Honor 80 Pro Variant 4,Latest generation smartphone with cutting-edge technology,Smartphones,"android,performance,battery"
96,Pixel 8 Pro Variant 5,Latest generation smartphone with cutting-edge technology,Smartphones,"camera,fast-charging,android,5g"
97,Honor 80 Pro Variant 6,High-performance flagship device with advanced camera system,Smartphones,"camera,mobile,screen"
98,iPhone 15 Pro Variant 7,Premium mobile phone with stunning display,Smartphones,"fast-charging,performance,battery,5g,mobile"
99,Motorola G73 Variant 8,Latest generation smartphone with cutting-edge technology,Smartphones,"camera,fast-charging,battery"
100,Honor 80 Pro Variant 9,High-performance flagship device with advanced camera system,Smartphones,"mobile,android,camera,performance,fast-charging"
101,OnePlus 12 Variant 0,Premium mobile phone with stunning display,Smartphones,"fast-charging,screen,performance"
102,Pixel 8 Pro Variant 1,Powerful smartphone for gaming and productivity,Smartphones,"screen,battery,5g,performance"
103,Realme 12 Pro Variant 2,Premium mobile phone with stunning display,Smartphones,"screen,performance,fast-charging,camera,android"
104,Oppo Find X7 Variant 3,Latest generation smartphone with cutting-edge technology,Smartphones,"camera,performance,5g"
105,OnePlus 11 Variant 4,Powerful smartphone for gaming and productivity,Smartphones,"mobile,performance,android,5g"
106,Xiaomi 13 Variant 5,Latest generation smartphone with cutting-edge technology,Smartphones,"camera,android,fast-charging,screen"
107,Nothing Phone 2a Variant 6,High-performance flagship device with advanced camera system,Smartphones,"performance,mobile,5g,screen,camera"
108,Vivo V27 Pro Variant 7,Latest generation smartphone with cutting-edge technology,Smartphones,"screen,battery,fast-charging,performance,camera"
109,iPhone 15 Pro Variant 8,High-performance flagship device with advanced camera system,Smartphones,"performance,screen,battery,5g"
110,iQOO 12 Variant 9,Premium mobile phone with stunning display,Smartphones,"battery,performance,screen,camera"
111,Oppo Find X7 Variant 0,Premium mobile phone with stunning display,Smartphones,"screen,android,fast-charging,battery,5g"
112,Pixel 8 Pro Variant 1,Latest generation smartphone with cutting-edge technology,Smartphones,"5g,battery,camera,screen"
113,Vivo X100 Variant 2,Latest generation smartphone with cutting-edge technology,Smartphones,"screen,android,battery,camera,fast-charging"
114,Pixel 8 Pro Variant 3,Latest generation smartphone with cutting-edge technology,Smartphones,"performance,android,5g,fast-charging"
115,iPhone 15 Pro Variant 4,Latest generation smartphone with cutting-edge technology,Smartphones,"mobile,screen,camera,android"
116,Xiaomi 14 Ultra Variant 5,Powerful smartphone for gaming and productivity,Smartphones,"mobile,camera,android"
117,Xiaomi 13 Variant 6,Powerful smartphone for gaming and productivity,Smartphones,"battery,5g,mobile,android"
118,Xiaomi 13 Variant 7,High-performance flagship device with advanced camera system,Smartphones,"fast-charging,performance,mobile"
119,Motorola G73 Variant 8,High-performance flagship device with advanced camera system,Smartphones,"android,fast-charging,camera"
120,iQOO 12 Variant 9,High-performance flagship device with advanced camera system,Smartphones,"5g,camera,performance"
121,Honor 80 Pro Variant 0,Latest generation smartphone with cutting-edge technology,Smartphones,"fast-charging,performance,screen,android,battery"
122,iQOO 12 Variant 1,High-performance flagship device with advanced camera system,Smartphones,"5g,fast-charging,screen,battery,android"
123,OnePlus 12 Variant 2,Latest generation smartphone with cutting-edge technology,Smartphones,"android,camera,mobile"
124,Realme 12 Pro Variant 3,High-performance flagship device with advanced camera system,Smartphones,"screen,battery,camera,performance"
125,iQOO 12 Variant 4,High-performance flagship device with advanced camera system,Smartphones,"camera,battery,android"
126,OnePlus 11 Variant 5,High-performance flagship device with advanced camera system,Smartphones,"performance,android,battery,camera,5g"
127,Samsung Galaxy A54 Variant 6,High-performance flagship device with advanced camera system,Smartphones,"performance,battery,5g,android,fast-charging"
128,OnePlus 12 Variant 7,High-performance flagship device with advanced camera system,Smartphones,"camera,screen,battery"
129,Motorola G73 Variant 8,Premium mobile phone with stunning display,Smartphones,"5g,performance,battery,android"
130,Apple iPhone 15 Variant 9,Premium mobile phone with stunning display,Smartphones,"screen,performance,mobile,camera,battery"
131,Samsung Galaxy A54 Variant 0,Premium mobile phone with stunning display,Smartphones,"camera,mobile,fast-charging,5g,battery"
132,Nothing Phone 2a Variant 1,High-performance flagship device with advanced camera system,Smartphones,"screen,camera,battery"
133,OnePlus 11 Variant 2,Premium mobile phone with stunning display,Smartphones,"fast-charging,battery,performance"
134,OnePlus 12 Variant 3,Powerful smartphone for gaming and productivity,Smartphones,"fast-charging,android,screen,mobile"
135,Realme 12 Pro Variant 4,Premium mobile phone with stunning display,Smartphones,"screen,android,battery,performance"
136,Vivo V27 Pro Variant 5,High-performance flagship device with advanced camera system,Smartphones,"5g,android,fast-charging,battery"
137,Pixel 8 Pro Variant 6,Powerful smartphone for gaming and productivity,Smartphones,"mobile,battery,camera,performance,fast-charging"
138,Samsung Galaxy S24 Variant 7,Latest generation smartphone with cutting-edge technology,Smartphones,"battery,camera,performance,screen,mobile"
139,Vivo X100 Variant 8,Premium mobile phone with stunning display,Smartphones,"android,screen,performance,battery,mobile"
140,iPhone 15 Pro Variant 9,Latest generation smartphone with cutting-edge technology,Smartphones,"android,screen,camera,mobile,performance"
141,OnePlus 12 Variant 0,Latest generation smartphone with cutting-edge technology,Smartphones,"screen,mobile,battery"
142,Xiaomi 14 Ultra Variant 1,Powerful smartphone for gaming and productivity,Smartphones,"camera,screen,battery,android,performance"
143,Xiaomi 13 Variant 2,Powerful smartphone for gaming and productivity,Smartphones,"screen,camera,5g"
144,Apple iPhone 15 Variant 3,Latest generation smartphone with cutting-edge technology,Smartphones,"android,fast-charging,mobile,screen,performance"
145,Oppo Find X7 Variant 4,Premium mobile phone with stunning display,Smartphones,"camera,battery,android"
146,Motorola G73 Variant 5,Powerful smartphone for gaming and productivity,Smartphones,"screen,camera,performance"
147,Google Pixel 8a Variant 6,Premium mobile phone with stunning display,Smartphones,"fast-charging,performance,android,5g,camera"
148,Motorola G73 Variant 7,Powerful smartphone for gaming and productivity,Smartphones,"fast-charging,mobile,android"
149,Xiaomi 13 Variant 8,Powerful smartphone for gaming and productivity,Smartphones,"android,performance,mobile,5g"
150,Realme 11 Pro Variant 9,Premium mobile phone with stunning display,Smartphones,"screen,mobile,camera"
151,OnePlus 11 Variant 0,High-performance flagship device with advanced camera system,Smartphones,"android,performance,battery,5g,mobile"
152,Xiaomi 13 Variant 1,Premium mobile phone with stunning display,Smartphones,"fast-charging,battery,mobile,android"
153,Vivo V27 Pro Variant 2,Powerful smartphone for gaming and productivity,Smartphones,"screen,fast-charging,camera,mobile"
154,Honor 80 Pro Variant 3,High-performance flagship device with advanced camera system,Smartphones,"camera,5g,battery"
155,OnePlus 12 Variant 4,Powerful smartphone for gaming and productivity,Smartphones,"5g,performance,screen"
156,iQOO 12 Variant 5,High-performance flagship device with advanced camera system,Smartphones,"battery,fast-charging,mobile"
157,iQOO 12 Variant 6,Premium mobile phone with stunning display,Smartphones,"fast-charging,5g,screen,camera"
158,Samsung Galaxy A54 Variant 7,Latest generation smartphone with cutting-edge technology,Smartphones,"android,mobile,camera"
159,Apple iPhone 15 Variant 8,Latest generation smartphone with cutting-edge technology,Smartphones,"android,5g,performance,screen"
160,OnePlus 11 Variant 9,Premium mobile phone with stunning display,Smartphones,"mobile,fast-charging,performance,android,5g"
161,OnePlus 12 Variant 0,Powerful smartphone for gaming and productivity,Smartphones,"camera,battery,performance,android"
162,OnePlus 11 Variant 1,Premium mobile phone with stunning display,Smartphones,"fast-charging,screen,performance"
163,Pixel 8 Pro Variant 2,Latest generation smartphone with cutting-edge technology,Smartphones,"battery,camera,android,screen"
164,iPhone 15 Pro Variant 3,Powerful smartphone for gaming and productivity,Smartphones,"mobile,camera,battery,screen"
165,Honor 80 Pro Variant 4,Powerful smartphone for gaming and productivity,Smartphones,"performance,camera,android,5g"
166,Vivo X100 Variant 5,Premium mobile phone with stunning display,Smartphones,"android,battery,mobile,fast-charging,screen"
167,OnePlus 11 Variant 6,High-performance flagship device with advanced camera system,Smartphones,"battery,screen,5g,mobile,android"
168,Oppo Find X7 Variant 7,Powerful smartphone for gaming and productivity,Smartphones,"performance,5g,camera"
169,Google Pixel 8a Variant 8,Premium mobile phone with stunning display,Smartphones,"camera,fast-charging,performance"
170,iQOO 12 Variant 9,Premium mobile phone with stunning display,Smartphones,"screen,mobile,5g"
171,Motorola Edge 50 Variant 0,Powerful smartphone for gaming and productivity,Smartphones,"battery,mobile,performance,fast-charging,android"
172,Vivo V27 Pro Variant 1,High-performance flagship device with advanced camera system,Smartphones,"battery,screen,fast-charging,android"
173,Motorola G73 Variant 2,Powerful smartphone for gaming and productivity,Smartphones,"battery,mobile,screen,5g,performance"
174,iPhone 15 Pro Variant 3,Premium mobile phone with stunning display,Smartphones,"performance,battery,mobile,screen,android"
175,Samsung Galaxy A54 Variant 4,High-performance flagship device with advanced camera system,Smartphones,"mobile,screen,android"
176,Xiaomi 13 Variant 5,High-performance flagship device with advanced camera system,Smartphones,"performance,camera,5g"
177,Apple iPhone 15 Variant 6,Powerful smartphone for gaming and productivity,Smartphones,"fast-charging,camera,battery,5g"
178,Samsung Galaxy A54 Variant 7,High-performance flagship device with advanced camera system,Smartphones,"fast-charging,android,mobile,screen"
179,Vivo X100 Variant 8,Powerful smartphone for gaming and productivity,Smartphones,"performance,fast-charging,android,mobile"
180,Google Pixel 8a Variant 9,Premium mobile phone with stunning display,Smartphones,"fast-charging,android,5g"
181,Pixel 8 Pro Variant 0,Powerful smartphone for gaming and productivity,Smartphones,"performance,battery,fast-charging"
182,Honor 80 Pro Variant 1,High-performance flagship device with advanced camera system,Smartphones,"battery,5g,fast-charging"
183,Motorola G73 Variant 2,Latest generation smartphone with cutting-edge technology,Smartphones,"performance,camera,5g"
184,Motorola Edge 50 Variant 3,Premium mobile phone with stunning display,Smartphones,"mobile,android,5g"
185,Xiaomi 14 Ultra Variant 4,Premium mobile phone with stunning display,Smartphones,"5g,battery,mobile"
186,Xiaomi 14 Ultra Variant 5,High-performance flagship device with advanced camera system,Smartphones,"performance,camera,android,mobile"
187,Realme 12 Pro Variant 6,Premium mobile phone with stunning display,Smartphones,"android,battery,performance"
188,Realme 11 Pro Variant 7,High-performance flagship device with advanced camera system,Smartphones,"5g,performance,fast-charging,android,mobile"
189,OnePlus 11 Variant 8,Latest generation smartphone with cutting-edge technology,Smartphones,"mobile,battery,fast-charging,camera,android"
190,OnePlus 11 Variant 9,High-performance flagship device with advanced camera system,Smartphones,"screen,fast-charging,performance"
191,Samsung Galaxy A54 Variant 0,High-performance flagship device with advanced camera system,Smartphones,"screen,mobile,fast-charging,android"
192,Honor 80 Pro Variant 1,Latest generation smartphone with cutting-edge technology,Smartphones,"android,screen,camera"
193,Motorola G73 Variant 2,Premium mobile phone with stunning display,Smartphones,"camera,performance,screen,battery"
194,Samsung Galaxy A54 Variant 3,High-performance flagship device with advanced camera system,Smartphones,"5g,fast-charging,battery,camera,screen"
195,Samsung Galaxy A54 Variant 4,Powerful smartphone for gaming and productivity,Smartphones,"fast-charging,android,performance"
196,Apple iPhone 15 Variant 5,Powerful smartphone for gaming and productivity,Smartphones,"5g,android,performance,fast-charging,camera"
197,Google Pixel 8a Variant 6,Latest generation smartphone with cutting-edge technology,Smartphones,"screen,mobile,fast-charging,battery,camera"
198,Samsung Galaxy A54 Variant 7,High-performance flagship device with advanced camera system,Smartphones,"battery,fast-charging,5g,camera,mobile"
199,Motorola G73 Variant 8,Premium mobile phone with stunning display,Smartphones,"5g,performance,android,fast-charging,mobile"
200,iQOO 12 Variant 9,Premium mobile phone with stunning display,Smartphones,"5g,camera,fast-charging,screen"
201,Xiaomi 14 Ultra Variant 0,Powerful smartphone for gaming and productivity,Smartphones,"5g,android,camera"
202,Google Pixel 8a Variant 1,High-performance flagship device with advanced camera system,Smartphones,"performance,fast-charging,screen,camera"
203,Honor 80 Pro Variant 2,High-performance flagship device with advanced camera system,Smartphones,"camera,mobile,5g,android,screen"
204,Oppo Find X7 Variant 3,Premium mobile phone with stunning display,Smartphones,"android,fast-charging,5g"
205,Motorola G73 Variant 4,Powerful smartphone for gaming and productivity,Smartphones,"android,battery,fast-charging"
206,iPhone 15 Pro Variant 5,High-performance flagship device with advanced camera system,Smartphones,"performance,screen,fast-charging,battery,android"
207,Realme 12 Pro Variant 6,Premium mobile phone with stunning display,Smartphones,"battery,fast-charging,camera,screen"
208,OnePlus 12 Variant 7,High-performance flagship device with advanced camera system,Smartphones,"android,fast-charging,camera"
209,Samsung Galaxy S24 Variant 8,High-performance flagship device with advanced camera system,Smartphones,"screen,battery,performance,fast-charging"
210,Honor 80 Pro Variant 9,Powerful smartphone for gaming and productivity,Smartphones,"camera,5g,screen,mobile"
211,Google Pixel 8a Variant 0,Powerful smartphone for gaming and productivity,Smartphones,"camera,battery,fast-charging"
212,Motorola G73 Variant 1,Powerful smartphone for gaming and productivity,Smartphones,"camera,mobile,5g,performance,fast-charging"
213,iPhone 15 Pro Variant 2,Latest generation smartphone with cutting-edge technology,Smartphones,"performance,fast-charging,5g,android"
214,iQOO 12 Variant 3,Premium mobile phone with stunning display,Smartphones,"mobile,performance,battery"
215,Samsung Galaxy A54 Variant 4,Latest generation smartphone with cutting-edge technology,Smartphones,"fast-charging,camera,battery"
216,Motorola Edge 50 Variant 5,Premium mobile phone with stunning display,Smartphones,"fast-charging,screen,battery"
217,Samsung Galaxy S24 Variant 6,Powerful smartphone for gaming and productivity,Smartphones,"screen,mobile,android"
218,Motorola G73 Variant 7,Powerful smartphone for gaming and productivity,Smartphones,"fast-charging,battery,screen,performance,android"
219,Pixel 8 Pro Variant 8,Powerful smartphone for gaming and productivity,Smartphones,"battery,5g,camera"
220,OnePlus 11 Variant 9,Premium mobile phone with stunning display,Smartphones,"fast-charging,screen,mobile"
221,Motorola Edge 50 Variant 0,Powerful smartphone for gaming and productivity,Smartphones,"fast-charging,camera,mobile,performance,android"
222,Oppo Find X7 Variant 1,Latest generation smartphone with cutting-edge technology,Smartphones,"android,mobile,camera,fast-charging"
223,Realme 11 Pro Variant 2,Latest generation smartphone with cutting-edge technology,Smartphones,"battery,screen,fast-charging,5g"
224,Motorola Edge 50 Variant 3,High-performance flagship device with advanced camera system,Smartphones,"camera,5g,fast-charging"
225,Honor 80 Pro Variant 4,Latest generation smartphone with cutting-edge technology,Smartphones,"5g,screen,battery,performance,camera"
226,Motorola G73 Variant 5,Powerful smartphone for gaming and productivity,Smartphones,"battery,fast-charging,screen,android,5g"
227,OnePlus 11 Variant 6,High-performance flagship device with advanced camera system,Smartphones,"screen,battery,android,fast-charging"
228,Motorola G73 Variant 7,High-performance flagship device with advanced camera system,Smartphones,"5g,android,performance,battery"
229,Samsung Galaxy S24 Variant 8,High-performance flagship device with advanced camera system,Smartphones,"camera,mobile,battery,fast-charging"
230,Honor 80 Pro Variant 9,Powerful smartphone for gaming and productivity,Smartphones,"mobile,performance,camera,5g"
231,Oppo Find X7 Variant 0,Powerful smartphone for gaming and productivity,Smartphones,"android,mobile,performance,fast-charging,screen"
232,OnePlus 12 Variant 1,Latest generation smartphone with cutting-edge technology,Smartphones,"performance,battery,screen"
233,OnePlus 11 Variant 2,Latest generation smartphone with cutting-edge technology,Smartphones,"battery,android,performance,screen"
234,Oppo Find X7 Variant 3,High-performance flagship device with advanced camera system,Smartphones,"battery,mobile,android,fast-charging,performance"
235,iQOO 12 Variant 4,Premium mobile phone with stunning display,Smartphones,"android,screen,mobile,camera,5g"
236,Google Pixel 8a Variant 5,Premium mobile phone with stunning display,Smartphones,"fast-charging,5g,camera,mobile,android"
237,Vivo V27 Pro Variant 6,Powerful smartphone for gaming and productivity,Smartphones,"battery,fast-charging,5g,camera,mobile"
238,Samsung Galaxy A54 Variant 7,Premium mobile phone with stunning display,Smartphones,"battery,android,5g"
239,Vivo X100 Variant 8,Premium mobile phone with stunning display,Smartphones,"performance,5g,fast-charging,battery"
240,OnePlus 12 Variant 9,Premium mobile phone with stunning display,Smartphones,"mobile,battery,android"
241,Honor 80 Pro Variant 0,Latest generation smartphone with cutting-edge technology,Smartphones,"fast-charging,5g,screen,battery,camera"
242,OnePlus 11 Variant 1,High-performance flagship device with advanced camera system,Smartphones,"battery,screen,fast-charging,5g"
243,OnePlus 11 Variant 2,Premium mobile phone with stunning display,Smartphones,"screen,5g,camera,fast-charging,android"
244,Xiaomi 13 Variant 3,Latest generation smartphone with cutting-edge technology,Smartphones,"screen,performance,android,fast-charging"
245,Realme 11 Pro Variant 4,Powerful smartphone for gaming and productivity,Smartphones,"performance,fast-charging,camera"
246,Xiaomi 14 Ultra Variant 5,Premium mobile phone with stunning display,Smartphones,"screen,fast-charging,android"
247,Vivo V27 Pro Variant 6,High-performance flagship device with advanced camera system,Smartphones,"5g,android,mobile,screen,fast-charging"
248,OnePlus 11 Variant 7,Latest generation smartphone with cutting-edge technology,Smartphones,"5g,screen,performance,android"
249,iPhone 15 Pro Variant 8,Powerful smartphone for gaming and productivity,Smartphones,"fast-charging,camera,android"
250,Motorola Edge 50 Variant 9,Powerful smartphone for gaming and productivity,Smartphones,"battery,5g,mobile"
251,Oppo Find X7 Variant 0,High-performance flagship device with advanced camera system,Smartphones,"battery,fast-charging,5g,screen,mobile"
252,iQOO 12 Variant 1,Powerful smartphone for gaming and productivity,Smartphones,"android,fast-charging,battery,performance,camera"
253,Honor 80 Pro Variant 2,High-performance flagship device with advanced camera system,Smartphones,"mobile,android,5g"
